run,program,nbodies,time_sec
45,cpu_simd,12000,15.451720899
46,cpu_simd,12000,15.494342291
47,cpu_simd,12000,15.475222344
48,cpu_simd,12000,15.413271587
49,cpu_simd,12000,15.444441095
50,cpu_simd,12000,15.495851798
51,cpu_simd,12000,15.476054572
52,cpu_simd,12000,15.397511817
53,cpu_simd,12000,15.649523198
54,cpu_simd,12000,16.008216098
55,cpu_simd,12000,15.416082784
56,cpu_simd,12000,15.417581648
57,cpu_simd,12000,15.785763910
58,cpu_simd,12000,16.663581518
59,cpu_simd,12000,16.578266149
60,cpu_simd,12000,16.293439570
61,cpu_simd,12000,16.524257220
62,cpu_simd,12000,16.565954629
63,cpu_simd,12000,16.980819020
64,cpu_simd,12000,16.508761192
65,cpu_simd,12000,16.731218465
66,cpu_simd,12000,16.096856368
67,cpu_simd,12000,15.691384108
68,cpu_simd,12000,15.576593908
69,cpu_simd,12000,15.523676050
70,cpu_simd,12000,15.402237062
71,cpu_simd,12000,15.447646278
72,cpu_simd,12000,15.631406719
73,cpu_simd,12000,15.563274359
74,cpu_simd,12000,15.443279813
75,cpu_simd,12000,15.367310943
76,cpu_simd,12000,15.543048878
77,cpu_simd,12000,15.481312124
78,cpu_simd,12000,15.358183254
79,cpu_simd,12000,15.397621792
80,cpu_simd,12000,15.843418013
81,cpu_simd,12000,15.560079374
82,cpu_simd,12000,15.387658749
83,cpu_simd,12000,15.448017867
84,cpu_simd,12000,15.425623570
85,cpu_simd,12000,15.436435411
86,cpu_simd,12000,15.581907730
87,cpu_simd,12000,17.008752207
88,cpu_simd,12000,15.801525601
89,cpu_simd,12000,15.481133448
90,cpu_simd,12000,15.472804559
91,cpu_simd,12000,15.543031648
92,cpu_simd,12000,15.593800525
93,cpu_simd,12000,16.566294821
94,cpu_simd,12000,16.393238930
95,cpu_simd,12000,16.096680977
96,cpu_simd,12000,15.649351781
97,cpu_simd,12000,15.401337560
98,cpu_simd,12000,15.548716639
99,cpu_simd,12000,15.501340686
